,algorithm,samples,error,error-ucb
0,RF-UCRL,100,0.3868519592417692,68.4622366482671
1,RF-UCRL,137,0.06021442477671002,59.87407879346431
2,RF-UCRL,188,0.06722158708614323,51.16053657730308
3,RF-UCRL,259,0.03703926834865179,44.51189727177456
4,RF-UCRL,356,0.009748190240463472,39.21923008307343
5,RF-UCRL,489,0.017077448174732,34.41280350512555
6,RF-UCRL,672,0.009079608552763574,29.933897528051226
7,RF-UCRL,923,0.033967263155419314,26.156882352505853
8,RF-UCRL,1268,0.04435383619791056,22.933612379851084
9,RF-UCRL,1743,0.011979302921856227,20.007044996413963
10,RF-UCRL,2395,0.004832195170813236,17.441533390637467
11,RF-UCRL,3290,0.030145295781252912,15.245540035382259
12,RF-UCRL,4520,0.005185143163560113,13.270559890776948
13,RF-UCRL,6210,0.013200906713275007,11.548057419982756
14,RF-UCRL,8531,0.006263481427438933,10.054597287160199
15,RF-UCRL,11721,0.007509499112003493,8.740215362108898
16,RF-UCRL,16102,0.0008801930924771106,7.594590172585793
17,RF-UCRL,22122,0.005875103150192018,6.590172849455167
18,RF-UCRL,30391,0.00978985683171496,5.7194899477189125
19,RF-UCRL,41753,0.002974246658209445,4.959323752377652
20,RF-UCRL,57361,0.0015669245266809462,4.299146338962133
21,RF-UCRL,78804,0.0011778306091820845,3.725289589150955
22,RF-UCRL,108263,0.0008070939082518436,3.2266602875087553
23,RF-UCRL,148735,0.00027236498734994896,2.7926233611128968
24,RF-UCRL,204335,0.00246543457160886,2.4165453938781822
25,RF-UCRL,280721,0.0010288876538822045,2.089882436960469
26,RF-UCRL,385662,5.926413104040407e-05,1.8071154593159715
27,RF-UCRL,529831,7.112247464080568e-05,1.5618514951371671
28,RF-UCRL,727895,0.0005727179665235838,1.3496033420552749
29,RF-UCRL,1000000,0.0009215065518812793,1.1656999801674837
30,RF-UCRL,100,0.07711880615272992,69.83838454005131
31,RF-UCRL,137,0.03891682326599755,60.07037177980774
32,RF-UCRL,188,0.17618718611132866,51.728943949281884
33,RF-UCRL,259,0.010478155577011261,44.99184169658517
34,RF-UCRL,356,0.0051460940822947165,39.26417090480747
35,RF-UCRL,489,0.00035786465539988654,34.420043553464424
36,RF-UCRL,672,0.005531268263194278,29.902007826144597
37,RF-UCRL,923,0.011014457284780566,26.23170516720185
38,RF-UCRL,1268,0.03068575033873433,22.918876397794225
39,RF-UCRL,1743,0.011482229782254993,20.010282361340362
40,RF-UCRL,2395,0.0038865640328622497,17.457229833616868
41,RF-UCRL,3290,0.031046358211332947,15.239520362670394
42,RF-UCRL,4520,0.0015752154707695531,13.284046411496515
43,RF-UCRL,6210,0.0019141048625823665,11.562945526746272
44,RF-UCRL,8531,0.0033377507215033297,10.051692679772522
45,RF-UCRL,11721,0.0037514440423800366,8.743883267810022
46,RF-UCRL,16102,0.0002963453399975613,7.594563676522691
47,RF-UCRL,22122,0.006959269127559065,6.592082650765791
48,RF-UCRL,30391,0.0013514654283133254,5.721964196360898
49,RF-UCRL,41753,0.0056553076979382055,4.959997827759843
50,RF-UCRL,57361,0.00034831357305264987,4.29963283902538
51,RF-UCRL,78804,0.00769037098184322,3.7250132004623175
52,RF-UCRL,108263,0.0013621324824799608,3.2267738143002838
53,RF-UCRL,148735,0.0012428112045048678,2.7930331962244095
54,RF-UCRL,204335,0.0004107329063618437,2.4165605891317816
55,RF-UCRL,280721,0.002744185698614565,2.0904298230358647
56,RF-UCRL,385662,0.0025280485063308156,1.80701633570626
57,RF-UCRL,529831,0.0012370182959711151,1.5619347503508676
58,RF-UCRL,727895,0.0013489029604749625,1.3495152405134334
59,RF-UCRL,1000000,0.0003960585263884653,1.1656791606990686
60,RF-UCRL,100,0.15612723724582,72.8766588627578
61,RF-UCRL,137,0.027376240206991476,60.116171949454916
62,RF-UCRL,188,0.04746884731675394,51.721956417543495
63,RF-UCRL,259,0.03840562229541211,44.85384673785852
64,RF-UCRL,356,0.04421417424946794,39.5781416718707
65,RF-UCRL,489,0.09948366981789736,34.20633583609965
66,RF-UCRL,672,0.018798600220506945,29.700173953431865
67,RF-UCRL,923,0.0013488121736688896,26.198241871455224
68,RF-UCRL,1268,0.01861566149676852,22.93601301621233
69,RF-UCRL,1743,0.001373693106264895,19.994278621267352
70,RF-UCRL,2395,0.004716741513672407,17.427148572453703
71,RF-UCRL,3290,0.04190563814394377,15.237265961956545
72,RF-UCRL,4520,0.023355343635395265,13.257700345142776
73,RF-UCRL,6210,0.02870565455742513,11.543149646921659
74,RF-UCRL,8531,0.0022080385700560257,10.052909291538903
75,RF-UCRL,11721,0.0031815778729500366,8.734327886906515
76,RF-UCRL,16102,0.008944891094929464,7.588255052767289
77,RF-UCRL,22122,0.01702549640172446,6.592597340705252
78,RF-UCRL,30391,0.0010907025065494125,5.719385977281355
79,RF-UCRL,41753,0.0014574078874813878,4.961278919750228
80,RF-UCRL,57361,0.010808284227965537,4.300224937266439
81,RF-UCRL,78804,2.3916684223745932e-05,3.726110540437558
82,RF-UCRL,108263,0.0034830455707015595,3.2252449580348967
83,RF-UCRL,148735,0.0015172194055477206,2.79277449521382
84,RF-UCRL,204335,0.0009239927077233645,2.4165665750314034
85,RF-UCRL,280721,0.003998056947780437,2.089950329612396
86,RF-UCRL,385662,0.00022318288664768815,1.8071511630580777
87,RF-UCRL,529831,0.0014527553846201968,1.5619526860794324
88,RF-UCRL,727895,0.0007388551926035269,1.3495813873358202
89,RF-UCRL,1000000,0.0009536871484949749,1.1656362160180405
90,RF-UCRL,100,0.0838427631170342,68.25792717134992
91,RF-UCRL,137,0.026793514573560717,58.81200131862289
92,RF-UCRL,188,0.0013882809664602647,51.55089236418992
93,RF-UCRL,259,0.04487813473484703,44.7043056350101
94,RF-UCRL,356,0.024378226240878043,39.04885143209999
95,RF-UCRL,489,0.016757746577559463,34.309716751924036
96,RF-UCRL,672,0.01836907461425019,29.895218043248235
97,RF-UCRL,923,0.029638638788188842,26.23577867611468
98,RF-UCRL,1268,0.02156172576357207,22.865615197417007
99,RF-UCRL,1743,0.014421953948041466,20.053774849173443
100,RF-UCRL,2395,0.006403326262705011,17.4547651882458
101,RF-UCRL,3290,0.010224859019488886,15.26397407015611
102,RF-UCRL,4520,0.029087033562438247,13.272104030385586
103,RF-UCRL,6210,0.0004826849317853821,11.55486989854884
104,RF-UCRL,8531,0.0013687628409932984,10.044901350798643
105,RF-UCRL,11721,0.007766627015385108,8.73286211902848
106,RF-UCRL,16102,0.004415928956730486,7.5881281631049005
107,RF-UCRL,22122,0.007837941435258067,6.590563878746321
108,RF-UCRL,30391,0.007213330771505433,5.723918558853061
109,RF-UCRL,41753,0.000796708178510741,4.959983003859342
110,RF-UCRL,57361,0.0016738391798600816,4.299864422946258
111,RF-UCRL,78804,0.0007669608831237795,3.725778819123521
112,RF-UCRL,108263,0.0037412697850682797,3.2259186977659557
113,RF-UCRL,148735,0.0009332803985273586,2.792364650384657
114,RF-UCRL,204335,0.0012752451195638947,2.4166025885393503
115,RF-UCRL,280721,0.00022827324979290964,2.090114529698684
116,RF-UCRL,385662,0.0013762676042943234,1.8070665740414522
117,RF-UCRL,529831,0.0001824726488761641,1.5619264769191623
118,RF-UCRL,727895,0.0029132944620613443,1.3494329765852107
119,RF-UCRL,1000000,8.893052171554672e-05,1.1657094898350162
